PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
100,51,36,45,100
100,35,34,34,100
100,34,43,33,99
100,48,38,39,97
100,34,65,25,100
29,61,59,100,72
100,29,42,27,78
100,41,35,32,100
100,51,43,45,83
100,36,34,34,72
16,53,57,52,51
100,39,47,38,87
94,43,50,42,97
100,36,38,27,83
13,44,33,34,37
15,65,55,100,72
100,40,43,31,78
100,25,56,23,65
100,44,100,33,100
100,45,100,37,85
100,33,39,31,83
100,23,17,22,76
100,43,34,34,89
100,41,43,40,73
56,43,51,41,67
100,51,56,50,100
100,51,67,41,100
75,43,50,42,88
100,58,62,89,92
100,34,100,24,93
100,58,63,100,78
14,49,46,39,70
100,59,59,83,100
14,36,41,34,41
100,36,44,35,100
100,32,28,24,84
56,27,60,25,61
100,50,32,40,95
100,46,54,45,71
100,50,56,49,100
100,42,29,33,90
100,29,49,27,100
84,38,38,37,71
100,42,38,33,88
100,56,63,100,100
22,49,39,40,61
100,51,44,44,95
100,50,56,49,99
100,62,58,100,75
82,50,66,40,73
100,32,23,24,100
100,50,55,50,100
47,60,61,100,58
100,34,26,25,86
52,56,60,78,58
15,36,36,27,45
100,26,56,25,100
100,40,38,30,100
100,38,49,37,100
49,41,48,40,100
30,60,61,87,57
100,40,47,39,100
100,39,21,30,81
100,48,52,48,100
100,57,52,100,96
92,48,61,40,64
100,55,65,50,100
14,46,26,35,75
100,57,65,100,100
84,52,58,51,98
15,49,56,47,64
20,50,55,50,76
100,53,64,50,98
100,30,57,29,91
38,39,35,37,64
31,62,58,100,59
17,58,62,100,83
100,39,44,37,100
28,46,57,36,50
100,48,57,38,70
100,35,38,34,100
31,23,30,22,51
100,58,59,82,100
100,26,46,24,85
57,32,28,30,100
41,59,61,89,56
100,40,45,30,86
100,50,54,49,100
100,42,19,31,100
45,27,56,25,71
100,42,25,32,88
25,45,28,35,100
100,59,61,100,100
100,54,58,60,100
69,38,48,37,67
100,26,38,25,100
100,32,44,31,92
21,38,36,37,44
78,56,63,52,100
100,56,64,62,77
100,46,62,35,87
53,27,31,25,97
100,62,59,100,63
100,38,25,28,100
100,53,57,52,89
100,36,27,34,92
33,51,57,50,56
100,46,52,45,100
34,49,54,48,72
100,61,59,92,92
28,41,43,32,100
100,45,61,36,89
100,39,24,30,100
100,46,53,45,71
31,45,51,44,64
100,60,60,92,100
100,42,20,31,92
100,38,37,29,68
100,47,54,46,92
100,44,52,42,100
48,49,56,48,54
24,44,44,35,100
52,39,45,38,84
100,53,59,44,88
63,52,58,53,57
81,60,60,100,66
21,43,49,42,56
58,37,43,35,59
100,34,31,33,93
93,34,26,32,100
100,35,30,33,87
100,56,63,97,99
100,34,31,33,88
19,44,33,35,44
100,28,31,26,100
100,49,57,40,100
100,58,61,94,96
24,50,57,40,100
23,40,48,30,67
100,24,51,22,83
100,32,39,30,100
74,61,59,100,58
100,32,51,24,97
100,45,49,36,67
100,39,42,30,100
100,32,35,30,100
100,31,24,24,100
55,40,48,31,100
100,27,23,20,78
100,61,59,100,98
100,58,61,100,100
15,61,59,100,46
18,26,52,25,99
21,49,53,42,47
77,41,100,31,92
100,29,56,27,95
100,37,100,29,100
100,50,59,41,91
100,42,37,41,100
100,61,59,100,81
100,53,67,43,100
63,46,52,45,82
21,33,28,24,48
15,47,60,38,73
62,62,58,100,63
100,60,60,100,85
15,45,53,44,42
100,42,48,41,83
100,56,65,47,100
100,33,51,32,79
100,36,33,34,100
58,29,49,28,60
100,40,37,39,100
18,50,56,50,73
100,45,66,35,100
100,25,34,24,99
100,47,64,38,79
100,30,50,28,100
100,33,32,31,100
100,60,60,100,100
15,53,68,43,40
21,53,63,48,62
100,55,60,77,80
100,36,19,28,73
99,44,52,33,89
98,61,59,100,89
18,42,46,40,95
100,42,43,33,100
100,33,38,24,100
44,58,62,92,54
100,55,60,74,100
89,48,55,47,100
100,43,49,42,91
88,45,55,34,94
83,36,44,27,82
54,40,41,32,100
18,41,59,32,50
21,52,57,51,46
17,34,45,24,47
46,24,17,22,64
100,43,52,34,100
100,58,61,100,100
73,45,28,35,89
22,48,33,38,58
100,40,31,30,100
95,41,22,30,100
59,29,21,21,80
41,25,43,23,100
18,43,24,32,100
100,28,39,21,93
100,60,59,100,73
17,43,49,42,91
60,42,49,41,72
19,28,21,20,48
15,35,27,27,59
100,50,51,40,100
100,43,50,42,81
100,38,27,28,100
30,48,55,47,56
100,37,38,28,87
100,41,36,32,100
100,30,42,28,65
100,58,62,69,91
29,55,64,51,63
100,23,33,21,82
46,42,33,32,52
100,42,33,31,100
57,48,58,40,100
100,28,56,27,100
100,37,21,27,82
100,42,40,41,100
100,57,59,81,100
100,35,23,26,99
100,60,60,100,82
100,50,57,49,100
100,39,44,38,94
100,35,31,26,100
100,35,50,34,100
21,36,33,34,50
100,41,35,31,80
90,49,53,41,78
14,45,58,35,54
100,42,43,41,100
100,47,55,46,87
100,39,28,30,93
100,40,46,38,75
100,53,59,62,100
82,52,30,42,82
100,27,61,25,98
100,55,65,54,100
100,39,37,38,83
100,42,49,41,76
100,43,35,35,95
100,37,35,36,88
22,64,57,100,96
100,57,61,100,95
25,45,52,44,100
21,39,47,38,65
100,27,48,26,100
100,62,58,100,67
100,56,61,87,89
18,35,28,33,39
100,29,19,28,100
97,37,26,28,100
100,41,22,32,89
