PID,RESPO,SAC_RCBF,VSRL,GAN_SPV
11,12,5,8,20
7,7,7,8,14
5,5,4,7,6
14,7,4,8,15
8,10,4,10,27
9,10,7,8,12
10,10,3,9,23
5,5,5,8,8
6,12,7,9,11
7,12,6,9,12
6,12,3,9,23
16,9,3,10,27
7,6,5,9,14
6,6,5,9,12
6,9,6,9,14
4,5,3,6,8
7,7,8,9,10
16,8,7,8,11
10,8,4,8,16
7,7,6,8,14
11,7,3,8,22
7,6,7,9,9
12,10,7,8,17
10,9,12,9,17
5,5,5,7,16
12,10,4,9,22
5,7,3,8,11
6,7,4,9,23
7,12,4,8,19
7,9,4,7,18
6,13,6,9,13
6,6,6,8,18
5,5,3,8,12
7,8,8,8,14
7,7,6,9,13
9,11,7,7,15
10,11,6,9,18
6,12,6,9,14
9,11,4,8,18
5,5,7,7,8
10,12,4,9,23
6,8,5,9,13
7,8,7,9,12
22,4,6,6,7
7,13,6,8,13
11,8,7,8,15
9,11,4,9,25
10,10,4,10,27
8,8,3,8,20
10,10,5,9,18
21,11,5,8,18
11,8,4,9,24
8,9,7,9,16
8,10,4,10,24
6,7,3,8,19
7,9,6,9,11
10,6,17,9,13
10,12,5,8,20
22,7,7,8,12
7,11,5,7,12
10,14,5,7,17
5,11,3,8,10
10,10,3,7,18
6,6,7,9,10
7,8,4,8,14
5,5,6,8,8
10,10,5,8,16
6,6,4,8,16
8,8,10,7,13
7,6,6,9,12
5,4,6,6,7
7,6,3,8,14
10,9,4,8,20
5,5,8,8,7
10,8,8,8,16
25,6,4,9,13
14,10,3,8,20
8,6,6,9,11
7,8,6,8,15
7,8,7,9,11
11,10,4,9,21
7,10,7,8,15
11,10,3,8,22
13,8,7,8,16
7,11,3,7,17
10,11,4,10,26
7,7,7,8,12
8,8,6,8,13
8,8,9,8,15
8,8,6,9,18
5,4,6,6,7
10,9,6,8,17
8,8,6,9,15
7,7,5,9,17
9,11,6,7,17
6,6,6,9,12
11,12,3,7,18
23,10,6,7,15
7,11,3,8,15
6,7,6,9,11
9,11,4,10,20
9,9,3,9,24
11,8,3,9,24
20,12,4,9,25
9,11,4,7,19
8,9,9,8,16
6,8,4,8,16
10,8,6,8,12
12,14,4,8,18
6,7,6,9,13
25,6,4,8,19
12,9,3,8,22
5,5,3,6,6
10,10,4,9,22
7,6,4,8,16
5,7,3,8,10
5,5,3,8,9
19,9,3,8,20
6,6,6,8,19
6,6,6,7,19
21,9,3,9,18
18,6,3,8,10
26,10,4,10,26
11,9,5,7,16
8,12,4,10,28
11,10,4,9,24
7,7,3,7,12
7,7,5,8,16
5,5,7,7,6
7,5,5,8,15
7,6,5,9,11
7,10,6,8,18
7,6,4,9,13
10,9,3,7,19
12,10,4,7,19
12,12,4,9,23
9,9,4,10,20
5,6,3,9,10
6,6,4,7,18
7,7,3,8,13
7,6,6,8,17
7,12,6,9,14
6,7,4,9,9
7,7,11,8,15
7,11,5,7,13
8,10,8,7,15
6,6,8,9,12
10,10,3,7,18
7,5,4,8,10
8,8,8,8,11
15,11,4,9,22
8,11,4,9,20
